Perioden,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
58,36083,35987,39311,38932,40002,41630,41710,42224,42758,43054,45205,47467,47333,48844,48863,49301,50746,51210,52131,51141,50119,53273,53739,54842,51664,52634,52101,50757,52127,61142,59447,58810,60423,58539,57713,57877,57263,58466,58469,60816,59448,60348,58745,59638,59524,60544,60157,63782,64310,66989,65387,68131,73246,76279,72091,98772,93791,88068,83374,80602,78958,80163,78592,78183,77654,78507,77756,78498,78767,78939,79896
59,33460,35600,35438,38712,38281,39322,40920,41040,41584,42153,42351,44633,46675,46494,47924,48040,48401,49858,50294,51157,50176,49186,52338,52657,53854,50722,51642,51120,49808,51161,60077,58409,57713,59235,57454,56761,56889,56351,57457,57484,59796,58522,59482,57927,58753,58719,59726,59370,62987,63653,66243,64615,67330,72415,75517,71326,97719,92764,87146,82600,79898,78272,79472,77870,77507,76944,77868,77258,78020,78348,78554
60,32298,32955,35053,34799,37993,37564,38650,40208,40307,40910,41337,41664,43812,45756,45564,46998,47088,47403,48855,49316,50144,49104,48157,51199,51549,52727,49744,50515,50079,48841,50212,58882,57266,56547,58087,56324,55613,55809,55241,56431,56486,58774,57652,58518,56933,57834,57874,58701,58577,62172,62903,65469,63778,66561,71605,74622,70526,96607,91722,86281,81844,79160,77692,78806,77228,76800,76347,77297,76765,77585,78072
61,31530,31739,32356,34400,34093,37260,36826,37871,39405,39555,40084,40534,40807,42804,44737,44581,45972,46057,46277,47697,48115,48988,47984,47022,49999,50416,51522,48495,49301,48941,47708,49204,57638,56078,55364,56888,55160,54434,54780,54207,55345,55426,57695,56662,57544,55911,56839,56875,57802,57742,61243,62114,64574,62983,65654,70639,73657,69623,95485,90672,85332,81111,78402,76932,78053,76456,76142,75709,76731,76243,77138
62,30173,30913,31023,31662,33635,33374,36468,35925,37063,38525,38630,39236,39635,39773,41765,43669,43485,44841,44915,45111,46439,46793,47721,46788,45804,48727,49252,50212,47309,48045,47777,46638,48010,56237,54747,54066,55616,53881,53334,53600,53043,54258,54348,56606,55616,56405,54890,55822,55880,56869,56890,60316,61198,63665,62052,64742,69590,72614,68681,94269,89612,84427,80268,77582,76137,77240,75670,75413,75073,76099,75679
63,28514,29435,30122,30317,30894,32833,32628,35581,35066,36200,37588,37683,38256,38574,38663,40584,42536,42326,43614,43641,43785,45050,45469,46298,45448,44560,47527,47796,48838,46018,46736,46515,45353,46671,54771,53316,52735,54308,52590,52121,52307,51903,53136,53186,55346,54432,55259,53693,54804,54890,55934,55963,59409,60232,62743,61082,63768,68540,71500,67803,93063,88509,83414,79332,76636,75282,76351,74902,74730,74395,75522
64,27188,27821,28685,29328,29464,30060,31927,31764,34667,34147,35199,36628,36661,37189,37413,37542,39339,41230,41088,42406,42279,42386,43605,44002,44897,44122,43265,46105,46411,47349,44762,45352,45224,44075,45386,53267,51895,51365,52963,51293,50809,51041,50687,51893,51979,54077,53228,54021,52648,53748,53866,54969,54991,58411,59296,61696,60158,62791,67576,70503,66850,91776,87390,82329,78342,75745,74366,75460,74059,73936,73675
65,25517,26352,27020,27862,28437,28536,29176,30915,30881,33763,33113,34270,35570,35523,35926,36201,36348,38036,39889,39723,41035,40779,40971,42085,42501,43376,42535,41801,44567,44925,45865,43417,43906,43834,42742,44141,51642,50470,50025,51387,49857,49459,49792,49426,50599,50716,52764,51865,52745,51592,52625,52789,53927,53925,57338,58147,60534,59182,61693,66469,69367,65828,90518,86107,81135,77286,74697,73360,74573,73256,73190
66,23169,24654,25477,26067,26885,27497,27610,28200,29914,29963,32673,32099,33105,34231,34193,34599,34885,35065,36555,38334,38122,39506,39256,39389,40432,40905,41815,40902,40288,42960,43331,44269,41913,42457,42391,41215,42647,50073,48853,48463,49739,48337,47965,48411,47955,49196,49240,51343,50529,51397,50361,51373,51613,52749,52727,56132,56874,59302,57949,60475,65209,68058,64642,88994,84653,79818,75968,73484,72307,73487,72322
67,22257,22257,23676,24550,25048,25841,26399,26568,27148,28831,28842,31265,30845,31902,32854,32843,33184,33527,33664,35083,36747,36514,37931,37521,37823,38702,39301,40088,39271,38677,41285,41638,42582,40320,40841,40847,39685,41153,48295,47166,46841,48133,46777,46501,46843,46559,47678,47681,49845,49079,50032,48994,50016,50170,51496,51549,54936,55702,58081,56723,59274,63912,66824,63364,87312,83135,78371,74663,72287,71092,72273
68,20449,21293,21284,22664,23437,23971,24797,25274,25469,26116,27662,27645,29944,29446,30434,31468,31384,31782,31996,32172,33533,35023,34858,36097,35860,36161,37087,37496,38298,37506,37025,39497,39967,40842,38703,39189,39107,37985,39608,46404,45412,45183,46401,45168,44816,45259,44961,46035,46112,48278,47572,48585,47635,48654,48815,50179,50290,53641,54419,56820,55487,58011,62623,65450,62028,85560,81513,76919,73293,70935,69957
69,18735,19446,20222,20260,21587,22309,22859,23616,24122,24388,24931,26723,26370,28471,28060,28964,29905,29840,30188,30398,30570,31788,33280,33096,34276,34116,34300,35268,35636,36460,35823,35368,37564,38241,39002,36952,37454,37339,36346,37984,44540,43495,43402,44638,43440,43134,43579,43213,44387,44518,46614,46068,47059,46156,47183,47453,48816,48932,52306,53095,55521,54140,56677,61209,63949,60646,83787,79834,75424,71790,69578
70,17569,17684,18416,19108,19158,20471,21095,21695,22431,22974,23176,23835,25375,25057,26944,26614,27415,28350,28282,28576,28725,28897,30060,31367,31392,32494,32477,32355,33393,33708,34584,34038,33576,35769,36258,37068,35192,35682,35593,34693,36221,42630,41578,41509,42741,41600,41285,41802,41537,42784,42879,44943,44428,45370,44677,45695,46027,47434,47567,50927,51760,54119,52840,55269,59738,62380,59230,81883,78136,73859,70210
71,15666,16473,16677,17297,17942,18031,19303,19884,20447,21151,21715,22038,22520,23970,23545,25408,25074,25787,26670,26588,26874,27004,27221,28130,29496,29541,30579,30491,30507,31408,31813,32567,32083,31698,33876,34342,35050,33316,33837,33831,32925,34440,40575,39586,39502,40802,39725,39323,40019,39792,41039,41150,43130,42744,43711,43120,44090,44549,45947,46238,49426,50403,52694,51457,53756,58241,60677,57610,79913,76326,72201
72,14412,14558,15328,15553,16134,16706,16829,17942,18626,19169,19852,20443,20672,21164,22383,22074,23727,23424,24155,24900,24656,25135,25201,25313,26302,27483,27618,28569,28589,28593,29359,29870,30544,30206,29772,31861,32385,33049,31472,31897,31972,31106,32551,38491,37434,37545,38714,37693,37420,38157,37995,39231,39370,41235,40909,42027,41549,42540,43062,44471,44796,47926,48899,51134,49985,52288,56659,58982,56040,77800,74408
73,12728,13297,13450,14259,14346,14924,15496,15576,16635,17299,17834,18455,19075,19270,19612,20890,20464,22013,21771,22448,23030,22770,23322,23270,23546,24415,25560,25641,26586,26553,26551,27273,27912,28567,28208,27789,29865,30285,31005,29495,29936,30075,29208,30661,36253,35360,35505,36438,35682,35474,36242,36057,37306,37427,39277,39093,40191,39939,40952,41519,42813,43266,46351,47279,49506,48458,50713,54882,57183,54325,75569
74,11026,11696,12201,12312,13071,13203,13724,14196,14339,15370,15942,16581,17069,17650,17753,18115,19211,18907,20329,19985,20546,21171,20870,21392,21488,21753,22647,23562,23667,24561,24575,24495,25302,25943,26435,26224,25825,27740,28266,28919,27501,27906,28152,27325,28684,34052,33120,33280,34236,33560,33447,34255,34080,35269,35594,37304,37274,38378,38240,39319,39824,41207,41638,44699,45554,47779,46724,48979,53020,55235,52605
75,9736,9983,10658,11125,11118,11859,12010,12378,12926,13095,14066,14651,15140,15588,16065,16330,16600,17589,17330,18532,18141,18651,19333,19039,19467,19699,19946,20701,21645,21715,22532,22635,22448,23397,23846,24280,24128,23834,25756,26166,26798,25467,25911,26224,25286,26748,31735,30846,31127,32006,31399,31423,32144,32064,33264,33681,35303,35494,36568,36544,37530,38071,39502,39972,42962,43791,45967,44913,47202,51124,53283
76,8325,8721,8891,9649,9956,10005,10654,10809,11215,11671,11844,12839,13312,13684,14112,14594,14764,15024,15919,15643,16793,16411,16764,17398,17229,17715,18038,18060,18847,19645,19800,20522,20710,20570,21327,21823,22139,22011,21842,23773,23998,24754,23440,23841,24127,23378,24679,29229,28575,28889,29790,29225,29273,30030,29928,31278,31765,33415,33554,34744,34718,35767,36370,37725,38241,41172,41915,44035,43111,45299,49115
77,7004,7405,7670,7909,8506,8899,8837,9443,9667,10060,10419,10711,11479,11980,12259,12720,13145,13222,13483,14280,14005,15004,14680,14882,15583,15393,15822,16178,16283,16932,17724,17897,18574,18672,18615,19354,19695,20185,19986,19866,21635,21916,22546,21468,21737,22139,21432,22585,26981,26342,26612,27504,26984,27130,27965,27969,29180,29808,31335,31610,32816,32793,33906,34543,35836,36425,39271,39985,42017,41109,43393
78,5491,6127,6430,6735,6877,7527,7829,7732,8294,8539,8922,9321,9513,10114,10537,10831,11270,11628,11763,11928,12657,12424,13259,12879,13232,13889,13855,14088,14475,14514,15150,15921,16011,16688,16747,16726,17279,17751,18176,17990,17866,19477,19868,20417,19335,19791,20079,19373,20502,24751,24047,24357,25272,24748,24988,25880,25963,27143,27848,29308,29685,30732,30853,31930,32672,33875,34505,37240,37973,39926,39122
